,City,Pro,Expert,Expert+,Creator Count,location,coordinates,state,country,OSM_Search_Query
137,"Pennsylvania, USA",500,32,2,534,"Pennsylvania, United States","(40.9699889, -77.7278831, 0.0)",Pennsylvania, United States,"Pennsylvania,  United States"
138,"Cairo, Egypt",391,92,48,531,"Cairo, 11519, Egypt","(30.0443879, 31.2357257, 0.0)",Cairo, Egypt,"Cairo,  Egypt"
139,Northern Ireland,504,23,1,528,"Northern Ireland, United Kingdom","(54.5859836, -6.9591554, 0.0)",Northern Ireland, United Kingdom,"Northern Ireland,  United Kingdom"
141,"San Antonio, TX",484,37,6,527,"San Antonio, Bexar County, Texas, United States","(29.4246002, -98.4951405, 0.0)",San Antonio, United States,"San Antonio,  United States"
142,"Seoul, Korea",442,71,10,523,"Seoul, South Korea","(37.5666791, 126.9782914, 0.0)",Seoul, South Korea,"Seoul,  South Korea"
143,"Athens, Greece",462,52,3,517,"Athens, Municipality of Athens, Regional Unit of Central Athens, Attica, 104 31, Greece","(37.9839412, 23.7283052, 0.0)",Athens, Greece,"Athens,  Greece"
145,"Newcastle Upon Tyne, England",475,30,4,509,"Newcastle upon Tyne, North of Tyne, England, United Kingdom","(54.9738474, -1.6131572, 0.0)",Newcastle upon Tyne, United Kingdom,"Newcastle upon Tyne,  United Kingdom"
146,"Fort Lauderdale, FL",446,56,3,505,"Fort Lauderdale, Broward County, Florida, United States","(26.1223084, -80.1433786, 0.0)",Fort Lauderdale, United States,"Fort Lauderdale,  United States"
147,"Bangkok, Thailand",369,113,18,500,"Bangkok, 10200, Thailand","(13.7524938, 100.4935089, 0.0)",Bangkok, Thailand,"Bangkok,  Thailand"
149,"Edinburgh, Scotland",455,34,1,490,"City of Edinburgh, Scotland, United Kingdom","(55.9533456, -3.1883749, 0.0)",City of Edinburgh, United Kingdom,"City of Edinburgh,  United Kingdom"
150,"Maryland, USA",462,26,2,490,"Maryland, United States","(39.5162401, -76.9382069, 0.0)",Maryland, United States,"Maryland,  United States"
151,"Ottawa, Ontario",435,54,1,490,"Ottawa, (Old) Ottawa, Ottawa, Eastern Ontario, Ontario, K1P 1J1, Canada","(45.4208777, -75.6901106, 0.0)",Ottawa, Canada,"Ottawa,  Canada"
154,"Salt Lake City, UT",434,45,3,482,"Salt Lake City, Salt Lake County, Utah, United States","(40.7596198, -111.8867975, 0.0)",Salt Lake City, United States,"Salt Lake City,  United States"
156,"Brisbane, Queensland",435,43,2,480,"Brisbane City, Queensland, Australia","(-27.4689682, 153.0234991, 0.0)",Brisbane City, Australia,"Brisbane City,  Australia"
158,"Wisconsin, USA",443,30,3,476,"Wisconsin, United States","(44.4308975, -89.6884637, 0.0)",Wisconsin, United States,"Wisconsin,  United States"
159,"Greater Accra, Ghana",441,32,3,476,"Greater Accra Region, Ghana","(5.8101532, 0.0995242, 0.0)",Greater Accra Region, Ghana,"Greater Accra Region,  Ghana"
160,"Prague, Czech Republic",426,39,1,466,"Prague, Czechia","(50.0874654, 14.4212535, 0.0)",Prague, Czechia,"Prague,  Czechia"
162,East Coast,421,27,1,449,"Gisborne, New Zealand","(-38.1532287, 178.1367523749267, 0.0)",Gisborne, New Zealand,"Gisborne,  New Zealand"
166,Hamburg,387,48,6,441,"Hamburg, Germany","(53.550341, 10.000654, 0.0)",Hamburg, Germany,"Hamburg,  Germany"
164,"Accra, Ghana",366,66,9,441,"Accra, Korle-Klottey Municipal District, Greater Accra Region, Ghana","(5.5571096, -0.2012376, 0.0)",Accra, Ghana,"Accra,  Ghana"
165,Roma,371,69,1,441,"Rome, Roma Capitale, Lazio, Italy","(41.8933203, 12.4829321, 0.0)",Rome, Italy,"Rome,  Italy"
